month,name,value
1,asym,0.0467055120783704
2,asym,0.0758375217620715
3,asym,0.167568641051061
4,asym,0.0928403285938451
5,asym,0.213327617285794
6,asym,0.0835053830615518
7,asym,0.117657299750667
8,asym,0.110702367626393
9,asym,0.1028351588657
10,asym,0.112650944976148
11,asym,0.137803545862735
12,asym,0.0435631998107475
1,sym,0.95329448792163
2,sym,0.924162478237928
3,sym,0.832431358948939
4,sym,0.907159671406155
5,sym,0.786672382714206
6,sym,0.916494616938448
7,sym,0.882342700249333
8,sym,0.889297632373607
9,sym,0.8971648411343
10,sym,0.887349055023852
11,sym,0.862196454137265
12,sym,0.956436800189252
